Data,Dia,Ibov,Mes,Ano
1994-01-03,3,380.09,1,1994
1994-01-04,4,400.549,1,1994
1994-01-05,5,421.045,1,1994
1994-01-06,6,444.174,1,1994
1994-01-07,7,476.395,1,1994
1994-01-10,10,495.393,1,1994
1994-01-11,11,501.411,1,1994
1994-01-12,12,536.43,1,1994
1994-01-13,13,561.652,1,1994
1994-01-14,14,551.061,1,1994
1994-01-17,17,598.053,1,1994
1994-01-18,18,605.71,1,1994
1994-01-19,19,642.024,1,1994
1994-01-20,20,689.677,1,1994
1994-01-21,21,689.178,1,1994
1994-01-24,24,689.562,1,1994
1994-01-26,26,704.938,1,1994
1994-01-27,27,684.494,1,1994
1994-01-28,28,689.217,1,1994
1994-01-31,31,740.556,1,1994
1994-02-01,1,826.862,2,1994
1994-02-02,2,823.057,2,1994
1994-02-03,3,798.354,2,1994
1994-02-04,4,821.282,2,1994
1994-02-07,7,848.729,2,1994
1994-02-08,8,887.987,2,1994
1994-02-09,9,904.668,2,1994
1994-02-10,10,1000.94,2,1994
1994-02-11,11,1035.44,2,1994
1994-02-17,17,1040.93,2,1994
1994-02-18,18,944.85,2,1994
1994-02-21,21,928.56,2,1994
1994-02-22,22,1053.68,2,1994
1994-02-23,23,1063.01,2,1994
1994-02-24,24,997.95,2,1994
1994-02-25,25,1008.32,2,1994
1994-02-28,28,1053.85,2,1994
1994-03-01,1,1073.32,3,1994
1994-03-02,2,1021.48,3,1994
1994-03-03,3,1045.79,3,1994
1994-03-04,4,1114.01,3,1994
1994-03-07,7,1193.94,3,1994
1994-03-08,8,1204.52,3,1994
1994-03-09,9,1260.24,3,1994
1994-03-10,10,1266.9,3,1994
1994-03-11,11,1268.74,3,1994
1994-03-14,14,1329.65,3,1994
1994-03-15,15,1350.93,3,1994
1994-03-16,16,1408.4,3,1994
1994-03-17,17,1393.77,3,1994
1994-03-18,18,1331.8,3,1994
1994-03-21,21,1270.83,3,1994
1994-03-22,22,1353.53,3,1994
1994-03-23,23,1415.72,3,1994
1994-03-24,24,1376.64,3,1994
1994-03-25,25,1459.07,3,1994
1994-03-28,28,1469.26,3,1994
1994-03-29,29,1440.75,3,1994
1994-03-30,30,1515.58,3,1994
1994-04-04,4,1355.02,4,1994
1994-04-05,5,1427.98,4,1994
1994-04-06,6,1435.5,4,1994
1994-04-07,7,1474.89,4,1994
1994-04-08,8,1537.42,4,1994
1994-04-11,11,1659.58,4,1994
1994-04-12,12,1648.87,4,1994
1994-04-13,13,1552.7,4,1994
1994-04-14,14,1506.22,4,1994
1994-04-15,15,1443.4,4,1994
1994-04-18,18,1401.14,4,1994
1994-04-19,19,1345.63,4,1994
1994-04-20,20,1283.84,4,1994
1994-04-22,22,1420.28,4,1994
1994-04-25,25,1551.6,4,1994
1994-04-26,26,1583.87,4,1994
1994-04-27,27,1605.18,4,1994
1994-04-28,28,1672.71,4,1994
1994-04-29,29,1708.42,4,1994
1994-05-02,2,1725.66,5,1994
1994-05-03,3,1648.35,5,1994
1994-05-04,4,1573.83,5,1994
1994-05-05,5,1447.88,5,1994
1994-05-06,6,1510.33,5,1994
1994-05-09,9,1421.75,5,1994
1994-05-10,10,1547.96,5,1994
1994-05-11,11,1546.05,5,1994
1994-05-12,12,1637.8,5,1994
1994-05-13,13,1585.87,5,1994
1994-05-16,16,1562.64,5,1994
1994-05-17,17,1648.36,5,1994
1994-05-18,18,1790.94,5,1994
1994-05-19,19,2008.46,5,1994
1994-05-20,20,2031.74,5,1994
1994-05-23,23,2096.28,5,1994
1994-05-24,24,2127.76,5,1994
1994-05-25,25,2301.79,5,1994
1994-05-26,26,2342.11,5,1994
1994-05-27,27,2349.45,5,1994
1994-05-30,30,2428.44,5,1994
1994-05-31,31,2467.21,5,1994
1994-06-01,1,2526.45,6,1994
1994-06-03,3,2695.99,6,1994
1994-06-06,6,2908.69,6,1994
1994-06-07,7,2920.51,6,1994
1994-06-08,8,2821.81,6,1994
